Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,68.889999,71.050003,67.620003,70.279999,70.279999,7021400
2020-12-14,70.160004,72.400002,67.949997,69.269997,69.269997,8664800
2020-12-21,67.760002,68.769997,66.300003,67.650002,67.650002,3983500
2020-12-28,68.440002,69.750000,67.379997,69.580002,69.580002,3556400
2021-01-04,70.839996,72.949997,68.699997,70.900002,70.900002,9607000
2021-01-11,70.050003,70.870003,66.930000,67.320000,67.320000,6003200
2021-01-18,67.739998,70.570000,66.410004,66.440002,66.440002,7810100
2021-01-25,67.290001,67.389999,62.200001,62.639999,62.639999,10484100
2021-02-01,62.990002,67.050003,62.790001,66.980003,66.980003,7576800
2021-02-08,67.250000,74.110001,67.150002,73.830002,73.830002,8734000
2021-02-15,72.889999,74.320000,66.720001,67.260002,67.260002,10451000
2021-02-22,66.760002,67.730003,63.750000,63.990002,63.990002,8582300
2021-03-01,65.940002,68.709999,62.119999,63.630001,63.630001,14314500
2021-03-08,63.520000,67.809998,60.200001,67.800003,67.800003,10526700
2021-03-15,67.650002,71.199997,64.849998,65.550003,65.550003,13037300
2021-03-22,66.070000,66.070000,60.990002,63.009998,63.009998,6727300
2021-03-29,63.189999,65.190002,62.020000,64.970001,64.970001,5472400
2021-04-05,64.900002,64.959999,64.000000,64.370003,64.370003,2375700
